,name,moviename,peopleCd,수상횟수
695,김래원,희생부활자,10004028,3
696,김해숙,희생부활자,10006221,8
697,김혜수,미옥,10006380,13
698,이선균,미옥,10055970,2
699,김남길,어느날,10003788,0
700,천우희,어느날,20133966,7
701,고두심,채비,10001486,4
702,김성균,채비,20127194,5
703,강예원,비정규직 특수요원,20066563,0
704,한채아,비정규직 특수요원,20128729,0
705,임창정,로마의 휴일,10058849,3
706,공형진,로마의 휴일,10001915,0
707,정상훈,로마의 휴일,20157462,0
708,김윤진,시간위의 집,10005297,5
709,택연,시간위의 집,20171680,0
710,조재윤,시간위의 집,10066926,0
711,고수,루시드 드림,10001656,2
712,설경구,루시드 드림,10035772,22
713,이요원,"그래, 가족",10056792,3
714,정만식,"그래, 가족",10061699,0
715,이솜,"그래, 가족",20110323,1
716,정준원,"그래, 가족",20189362,0
717,정해인,역모-반란의 시대,20219146,0
718,김지훈,역모-반란의 시대,20100017,0
719,이원종,역모-반란의 시대,10056895,1
720,조재윤,역모-반란의 시대,10066926,0
721,한채영,이웃집 스타,10087779,0
722,진지희,이웃집 스타,10070678,0
723,최성국,구세주: 리턴즈,10072338,0
724,송삼동,구세주: 리턴즈,10037091,0
725,김성경,구세주: 리턴즈,20279569,0
726,정이연,구세주: 리턴즈,20279589,0
727,김보민,구세주: 리턴즈,0,0
