,영화명,개봉일,관객수,배급사,장르,기사수,감독수상,감독파워,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,상영등급,기대지수,비기대지수,holiday,season
131,그날의 분위기,20160114,653287,(주)쇼박스,멜로/로맨스,17341,0,0,10,33,7519,592,2854,67607,575,2799,68328,586,2645,111188,15세 관람가,8071,1256,1,4
132,사냥,20160629,645922,롯데쇼핑㈜롯데엔터테인먼트,액션,50370,0,0,10,20,5535,696,3574,161021,665,3614,68190,691,3659,70271,15세 관람가,5209,816,0,2
133,널 기다리며,20160310,635235,(주)넥스트엔터테인먼트월드(NEW),스릴러,4296,1,0,8,16,3662,463,2292,41956,470,2366,53965,543,2507,106137,청소년 관람불가,3993,397,0,1
134,가려진 시간,20161116,510878,(주)쇼박스,드라마,9517,3,0,215,362,19152,884,4004,71077,872,3738,60105,823,3523,52002,12세 관람가,12208,1071,0,3
135,해어화,20160413,485695,롯데쇼핑㈜롯데엔터테인먼트,사극,9053,7,0,19,42,7841,557,2525,74087,546,2428,27923,556,2536,28624,15세 관람가,9015,8285,0,1
136,계춘할망,20160519,482516,(주)콘텐츠 난다긴다,가족,6959,1,0,25,102,15115,483,1813,28793,515,1848,39794,526,1649,66163,15세 관람가,6385,658,0,1
137,"로봇, 소리",20160127,476665,롯데쇼핑㈜롯데엔터테인먼트,드라마,12118,4,0,147,548,36250,601,2607,52321,609,2568,30475,573,2488,33754,12세 관람가,5859,777,1,4
138,위대한 소원,20160421,308398,(주)넥스트엔터테인먼트월드(NEW),코미디,3418,0,0,445,1433,25610,521,2767,32598,524,2798,35538,524,2833,58643,15세 관람가,3408,436,0,1
139,혼숨,20161026,288016,(주)프레인글로벌,공포(호러),584,0,0,3,7,1450,421,943,32837,440,1023,23136,456,1106,29867,15세 관람가,4178,477,0,3
140,비밀은 없다,20160623,250829,씨제이이앤엠(주),스릴러,46745,16,0,9,22,3067,463,2334,53485,474,2323,44302,502,2083,51512,청소년 관람불가,3971,749,0,2
141,순정,20160224,240484,(주)리틀빅픽쳐스,드라마,43766,0,0,22,124,24445,467,1702,56244,435,1466,22480,439,1421,19805,12세 관람가,31698,2517,1,4
