,0
108,영화 극한직업 보고 왔는데 나 신하균이랑 오정세 나오는지 몰랏어 보다가 깜짝놀랐은데 존나 찌질하고 귀엽고 무서운 악역 둘이 너무 찰떡이야ㅠㅠㅠㅠ 아 나 개재밌게 봤네ㅠ 특출이야??? 분량 개많아 아 존나재밌어ㅠㅠ 친구들이 잼잇을 거 같다고 해서 왔는데 기대 안하고 봤다가 영화내내 쳐웃음
109,1월 30일에 학교에서 영화 보러 가는데 극한직업이랑 말모이 중에 택1임 아니 저 그때 뺑반 개봉해서 보려고 했는데요... 하루에 영화 두 번 보겠네
110,나 그... 극한직업 봤구.. 불편함 없이 잘 만든 오락영화 금방 천만 찍겠다 싶었음ㅋㅋㅋㅋㅋ 보고나서 당연하게도 치킨 먹으러 왔음 희희 
111,<극한 직업> B급 뽕끼로 무장한 키치한 영화를 뽑아놨네 충무로 코미디의 적폐를 도려내고 경제불황이 드리운 골목길 상권과 프랜차이즈 장사치들에 신음하며 리영돈PD에 운명이 갈리는 소상공인 자영업자들의 고통이 믿을 건 연금 뿐인 경찰공무원들과 맞물려 리명박에게 돌직구를 던진다 쥐를 잡즈아 pic.twitter.com/g8cTR6Ammp
112,"님들 영화 극한직업 진짜 완전 재밌어요
강추합니다 ㅋㅋㅋㅋㅋㅋㅋ
웃고싶을때 보면 진짜 재밌어요"
113,저 영화 극한직업 봤는데 강추 합니다 진짜 졸잼
114,"극한직업이라는 영화보거나서 갈비치킨 먹고 싶다고 노래를 불렸더니 아빠기 만들어주셨어요!!
닭갈비까지!!>ㅁ<☆
엄머 도시락도 만드셨더라구요!!!>ㅅ<☆ "
115,극한직업 재밌었음 ㅈㄴ 아무생각없이 쳐웃으며 본 영화는 육혈포강도단 이후로 간만이여 
116,"극한직업 후기 : 일단 오랜만에 진짜 재밌는영화봄.... 개그코드도 잘 맞았고 여기에 싸움 잘하는 언니 두명 나옴 존나 멋있어
약간 유치할수도 있는데 웃김.... 경찰들이 잠복수사한다고 치킨집 장사하는데 그게 갑자기 불티나게 잘 팔려서 대박난것도 웃김...걍 영화 자체가 웃김...."
117,오늘의 tmi! 집가 영화 극한직업 보러갑니다 pic.twitter.com/9YbWaf5T2r
118,으므으믐 영화 보고싶다! 요즘 극한직업 재밌다는데 보러 갈까 말까
119,"크악 박쳐박쳐 한국가면 볼 영화
언더독
극한직업
또... 머있더라"
120,와 진짜 여러분 영화 극한직업 꼭 보세요. 진짜 제가 영화보면서 웃겨서 운적이 한번도 없는데 진짜 와 너무 재밌어요. (물론 개인 취향이 있기에 장담은 못하겠지만) 영화 보려고 하는데 볼게 없으시다면 !! 극한직업 진짜로 한번 추천해드릴게요.
121,안그래도 극한직업볼라구 영화볼까 생각해써욬ㅋㅋㅋㅋ
122,극한직업 공명이 존나 잘하고 ㅋㅋ 아슬아슬하게 잘 비켜가서 간만에 걍 웃기기만 한 영화 봐서 조앗음 .. 나는.. 어쩔수 업는 케이무비러버라서..
123,#극한직업 약빤듯한 이 영화의 웃음에 중독됨. 배꼽빠질줄알면서도 어느새 또 보러옴 ㅋㅋㅋ 
124,몰라(._. 그와중에 왜 울었는지 기억이 안난다는거야 울다가 영화보러가서 극한직업 개재밋게보고 아직 술 덜깨서 전화로 또 밥먹으면서 햇던이야기 또함 ㅋ......ㅋ.ㅋㅋ.ㅋ.ㅋ.........
125,극한직업이라는 영화에 여캐도 적고 한국영화라서 여혐이 판치는걸 생각하고 마음놓고 봤는데 한국영화치고 괜찮았다. 무능력하고 그냥 간판인 여캐가 아니여서 마음에 들었다. 그리고 선희언니 너무 멋졌다. 처음보는 순간 내 마음가져가심
126,@HelloHALO_ [재] 재용아 안농! 어제 분명 멘션 보냈다구 생각했는데 오늘 보니까 안 보낸 거 이찌? 완전 몽총몽총이  어제 영화 극한직업 보구 왔는데 진짜 짱짱 재밌었어 다음에 또 보러 가야딩!ㅎㅎ 째용아 오늘두 즐거운 하루 보내
127,"190126 영화 #극한직업 부산 무대인사에 다녀왔습니다! CGV 서면점에서 진행되었고 영상으로 담았어요. https://tv.naver.com/v/5180690 
여기서 확인해보세요!!"
128,"아쿠아맨 영화 2번 보고 극한직업 영화 또 2번이나 봐버렸네~

원래 극장에서 영화는 한 번만 보던 나의 작은 변화들.

아침에 일어나 모닝 음악과 모닝 댄스를 흥겨워 흔들흔들~^^"
129,"여보야랑 영화보기!!

여보야랑 나는 영화  를 무지 좋아하는거 같음ㅋㅋㅋ 

이 영화 재밌겠지? 
내 안의 그놈도 보고싶고만?
#데이트 #극한직업 #조조영화 

#날씨춥네요 @메가박스 수원남문 https://www.instagram.com/p/BtHn5krAaap/?utm_source=ig_twitter_share&igshid=1vqowi5comvur …"
130,#영화 #글래스 #극한직업 글래스 영화가 월드와이드 1억1천만불을 돌파하며 제작비의 6배에 가까운 세계적인 흥행에 성공을 이어가며 극한직업 영화가 대한민국 전체박스오피스 압도적 1위 예매율 1위로 확실한 성공을 거두며 토요일 하루만에 99만명이라는 엄청난 관람객을 모았습니다.강력추천합니다 pic.twitter.com/jiqBWE9Czo
131,오랜만에 머리하고  영화 #극한직업 시사회 다녀왔어요~~~ 영화 꿀잼핵잼이구 하늬언니 핵 멋있어요!!!!!!!  강추강추~~~  pic.twitter.com/Ak0qMSrk7Q
132,조조영화 보러 오는 동네 CGV. 소극장 분위기다. 앞자리 E열에서 보는 극한직업. 인기 좋네.
133,히히 오늘은 아마도 극한직업이라는 영화를 보게 될 것 같아요!!!
134,오늘 영화보고 싶은데 말모이랑 극한직업 중에 뭐 볼까
135,저 방금 영화봤어요!!극한직업이용!
136,"오,,, 모친이 저에게 2038532년만에 함께 영화를보잔말을햇는데 >>극한직업<< 오,,,, 그래서 뺑반볼거라햇음"
137,극한직업 개봉일 밤늦은 시간 흫흫 아무도 안오는줄 혼자 전세낸줄... 근데 영화 시작하려하니 우루루 핳? 좋다말았었쥬 pic.twitter.com/yRlBMYqNYX
138,그나저나 극한직업 진짜 웃기니 꼭 보세요. 억지라고 느껴지는 부분이 있긴 한데 그럼에도 불구하고 웃깁니다. 뻔뻔하게 정말 웃기는데만 촛점을 맞춘 영화입니다. 강추!! 여혐적인 부분도 거의 없어요 ㅎㅎ
139,코미디 영화의 각종 기록을 갈아치우고 있다. #극한직업
140,#영화 #알리타배틀엔젤 #알리타_배틀엔젤 D-8 알리타 배틀엔젤 영화가 개봉에 앞서 대한민국 전체박스오피스 예매율 8위로 껑충뛰어올랐습니다.이미 세계적인 흥행이 확정된 영화로서 강력추천합니다.연일 박스오피스 1위의 극한직업 영화가 완벽한 성공을 했습니다https://youtu.be/U3D2vmWD88w 
141,"야. 언제 100명 됐냐? 치킨이랑 하얀 가루 주려다가 영화 보여주는 거니까 나 나오는 거 꼭 봐라, 알았니? 인증 꼭 하고. 영화 보고 나오면서 치킨은 네 돈으로 사먹어. 뭐 치킨까지 달라고? 양심이 있니, 없니. 잘생긴 내가 나오는 영화니까 꼭 봐라. 알티만 해. 한 명한테 준다. 극한직업 보라고!! pic.twitter.com/ABdLGYlUHE"
142,"한국 영화에 일침 날린 '극한직업', 천만 관객도 가능할까 #극한직업 #치킨 #코미디 #이병헌 #류승룡 http://omn.kr/1h1id  김형욱 기자"
143,방금 극한직업 영화 보구 왔는데 개재밌서요
144,"베테랑 도둑들 보다 빠름ㄷㄷ
얘들아 우리도 빨리 보러 가자

#극한직업 #영화 #300만 #류승룡 #이하늬 #이동휘 #공명 #진선규"
145,“평점 10점 육박” 한국 영화 기록 깨고 있는 '극한직업' (+관람평) http://i.wik.im/399938  #극한직업
146,RT) 다가오는 2/1일 도영왕댜님의 24번째 생일 맞이 한분께 CGV 예매권 1인 2매 추첨을 통해 선물드려요. 이왕이면 도영바 광고 들어간 CGV에서 공명이형 영화 극한직업을 보는게 좋겠죠? 당발은 1/31일 저녁에 할게요. 시즈니 한정 도영아생일축하해 pic.twitter.com/aHphPOHfEz
147,"[#HNB/#김현수] 안녕하세요 현수예요오
오랜만이쥬? 롱타임노씨>< 
어제 일요일이라서 요새 핫하다는 #극한직업 이란 영화를 보고 왔어요!
어제는 별로 안 추운 거 같아서 오랜만에 코트도 입었다요

 http://bitly.kr/4ikAf  pic.twitter.com/krNVaRxBCj"
148,"'코미디' 탈 쓴 영화들 뒤통수 친, 류승룡의 '극한직업' #극한직업 #류승룡 http://omn.kr/1h11m  김종성 기자"
