,영화명,개봉일,관객수,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수,배급사크기
144,무서운 이야기 3 : 화성에서 온 소녀,20160601,97804,공포(호러),15세 관람가,2236,0,0,5,1,28,26,0,2,3.0,9.0,2389.0,309,822,11055,big
145,걷기왕,20161020,95542,드라마,12세 관람가,3451,1,0,5,3,87,211,0,3,366.0,905.0,10913.0,447,1537,12075,mid
146,엽기적인 그녀 2,20160512,77124,멜로/로맨스,15세 관람가,9436,3,0,3,2,25,20,0,1,4.0,17.0,2408.0,383,979,14398,mid
147,번개맨,20160211,69363,판타지,전체 관람가,1231,9,0,0,0,44,54,1,4,5.0,16.0,3071.0,363,766,10570,mid
148,올레,20160825,66883,드라마,15세 관람가,29095,1,0,9,2,88,101,1,2,7.0,19.0,2822.0,334,814,12017,small
149,두 남자,20161130,60365,범죄,청소년 관람불가,54356,0,0,1,5,113,176,0,3,11.0,23.0,4185.0,389,1268,9465,mid
150,목숨 건 연애,20161214,47805,멜로/로맨스,15세 관람가,6511,0,0,9,1,47,28,0,4,7.0,15.0,3279.0,384,1013,7178,small
151,트릭,20160713,38262,스릴러,15세 관람가,8342,0,0,0,2,72,57,1,2,7.0,13.0,1924.0,384,1130,6305,small
152,대결,20160922,32278,액션,15세 관람가,167636,0,0,1,0,57,61,0,3,4.0,8.0,1812.0,359,996,5387,small
153,인천상륙작전 : 익스텐디드 에디션(확장판),20160913,27070,전쟁,15세 관람가,349,8,2,16,9,84,78,0,3,3.0,4.0,549.0,107,178,3597,big
154,히야,20160310,21687,드라마,12세 관람가,1749,1,0,3,4,101,204,0,1,5.0,7.0,1507.0,124,222,3607,small
155,무수단,20160303,15882,미스터리,15세 관람가,3330,0,0,1,0,30,36,0,1,5.0,8.0,1496.0,227,417,2836,small
156,택시운전사,20170802,12186327,드라마,15세 관람가,30684,45,2,39,25,136,283,1,2,83.0,477.0,86713.0,1558,7403,685660,big
157,신과함께-죄와 벌,20171220,8539495,판타지,12세 관람가,18519,38,8,28,26,113,333,0,4,34.0,62.0,16199.0,1591,7077,435208,big
158,공조,20170118,7817618,액션,15세 관람가,33457,3,2,9,13,123,249,1,4,24.0,92.0,14606.0,918,4166,151176,big
159,범죄도시,20171003,6879841,범죄,청소년 관람불가,35216,6,1,2,6,43,228,0,3,35.0,156.0,30408.0,719,2608,216025,mid
160,군함도,20170726,6592151,액션,15세 관람가,27214,47,6,32,16,127,331,1,2,34.0,98.0,21629.0,1992,10305,704664,big
161,청년경찰,20170809,5653270,액션,15세 관람가,24506,3,1,5,2,104,279,1,2,26.0,192.0,36656.0,1071,5750,296600,big
162,더 킹,20170118,5317693,범죄,15세 관람가,26041,30,2,18,15,96,238,1,4,26.0,72.0,14012.0,1153,5458,262844,big
163,꾼,20171122,4018035,범죄,15세 관람가,14127,0,0,1,9,101,219,0,3,49.0,189.0,38739.0,1219,6451,233856,big
164,강철비,20171214,4014293,액션,15세 관람가,11193,28,1,8,7,91,228,0,4,41.0,99.0,16112.0,1318,5601,355068,big
165,남한산성,20171003,3849087,사극,15세 관람가,15819,27,2,49,17,138,241,0,3,40.0,155.0,28918.0,1165,5400,532368,big
166,아이 캔 스피크,20170921,3279296,코미디,12세 관람가,9984,25,0,15,1,74,212,0,3,37.0,162.0,31512.0,1056,5521,150492,big
167,프리즌,20170323,2931897,범죄,청소년 관람불가,9416,3,0,5,2,120,194,0,1,871.0,2563.0,108154.0,966,4525,255214,big
168,살인자의 기억법,20170906,2658589,범죄,15세 관람가,9052,10,0,30,21,142,235,0,3,7.0,17.0,4720.0,938,4495,158263,big
169,보안관,20170503,2588628,범죄,15세 관람가,11809,0,0,12,8,107,225,0,1,31.0,123.0,22154.0,768,2869,227323,big
170,조작된 도시,20170209,2515501,범죄,15세 관람가,12437,7,1,5,3,80,235,1,4,34.0,98.0,18203.0,867,3927,232533,big
171,재심,20170215,2421197,드라마,15세 관람가,12295,0,0,10,6,87,253,1,4,15.0,63.0,13133.0,782,3720,137758,small
172,박열,20170628,2359206,드라마,12세 관람가,13843,97,8,0,2,127,276,0,2,29.0,119.0,19175.0,992,4546,172474,mid
173,1987,20171227,1942077,드라마,15세 관람가,60507,31,1,40,22,135,273,0,4,45.0,170.0,35331.0,1234,5746,286534,big
174,노무현입니다,20170525,1855149,다큐멘터리,12세 관람가,33807,0,0,0,0,133,275,0,1,25.0,50.0,7328.0,671,3112,126501,mid
175,임금님의 사건수첩,20170426,1635003,코미디,12세 관람가,4539,1,0,4,0,49,131,0,1,25.0,94.0,16380.0,959,4803,95882,big
176,부라더,20171102,1492903,코미디,12세 관람가,5655,0,0,1,9,56,152,0,3,30.0,130.0,24942.0,785,3747,160243,mid
