,영화명,개봉일,관객수,배급사,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,기대지수,비기대지수,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수,배급사크기
78,위험한 상견례 2,20150429,472693,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",멜로/로맨스,15세 관람가,7415,0,0,0,4,57,53,0,1,2757,779,13.0,28.0,5687.0,341,783,16506,422,1583,28561,427,1497,47817,396,1287,30961,big
79,순수의 시대,20150305,469891,씨제이이앤엠(주),사극,청소년 관람불가,10096,2,0,5,2,85,138,0,1,7092,1436,23.0,51.0,10127.0,512,2569,61795,523,2648,59611,546,2782,108423,527,2666,76609,big
80,오피스,20150903,441208,(주)리틀빅픽쳐스,스릴러,15세 관람가,214023,3,0,2,6,91,189,0,3,3593,510,14.0,70.0,13061.0,382,1842,46567,409,1882,49454,415,1854,84900,402,1859,60307,mid
81,"협녀, 칼의 기억",20150813,431310,롯데쇼핑㈜롯데엔터테인먼트,사극,15세 관람가,10491,7,0,22,6,58,133,1,2,5465,5503,11.0,28.0,6453.0,572,2679,79801,562,2410,96717,498,1893,88403,544,2327,88307,big
82,무뢰한,20150527,414641,CGV아트하우스,멜로/로맨스,청소년 관람불가,14066,8,0,0,5,67,237,0,1,4059,553,21.0,46.0,8043.0,482,2281,50014,474,2292,36257,477,2320,41949,477,2297,42740,mid
83,내 심장을 쏴라,20150128,387409,"(주)리틀빅픽쳐스,(주)이수C&E",드라마,15세 관람가,6833,0,0,4,2,79,111,1,4,6860,759,8.0,21.0,3969.0,430,2191,60407,422,2162,40561,441,2229,43565,431,2194,48177,mid
84,소수의견,20150624,383582,(주)시네마서비스,드라마,15세 관람가,14201,7,0,8,11,127,268,0,2,5222,771,31.0,71.0,16758.0,378,1842,34334,385,1762,25161,394,1727,33849,385,1777,31114,small
85,경성학교: 사라진 소녀들,20150618,356415,롯데쇼핑㈜롯데엔터테인먼트,미스터리,15세 관람가,7048,13,3,25,7,120,228,0,2,8640,1340,6.0,11.0,2758.0,476,2406,53657,470,2454,55098,489,2486,83336,478,2448,64030,big
86,치외법권,20150827,346483,판씨네마(주),액션,15세 관람가,6302,0,0,3,0,68,88,1,2,3298,653,8.0,27.0,5650.0,405,2060,49585,431,2059,46596,446,1935,78064,427,2018,58081,small
87,극적인 하룻밤,20151203,320884,CGV아트하우스,멜로/로맨스,청소년 관람불가,7220,0,0,1,5,30,27,0,4,2589,530,2.0,7.0,1362.0,386,1847,35140,398,1891,35249,434,1936,55812,406,1891,42067,mid
88,도리화가,20151125,317505,씨제이이앤엠(주),사극,12세 관람가,11834,0,0,6,4,113,178,0,3,12459,6309,20.0,33.0,6760.0,544,2372,49216,550,2333,34219,563,2327,39975,552,2344,41136,big
89,함정,20150910,257990,(주)인벤트스톤,스릴러,청소년 관람불가,16927,0,0,1,5,62,87,0,3,2023,551,13.0,43.0,9178.0,359,1200,32277,393,1300,39065,445,1456,65545,399,1318,45629,small
90,조선마술사,20151230,224657,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세 관람가,10861,11,0,0,0,111,174,0,4,13233,1617,9.0,16.0,4472.0,596,2437,115456,583,2469,104729,608,2319,145065,595,2408,121750,big
91,연애의 맛,20150507,214539,"(주)와우픽쳐스,(주)쇼박스",멜로/로맨스,청소년 관람불가,11278,0,0,0,0,23,237,0,1,1176,541,5.0,11.0,2385.0,390,1452,16462,398,1469,20694,397,1363,43494,395,1428,26883,small
92,내부자들: 디 오리지널,20151231,160148,(주)쇼박스,범죄,청소년 관람불가,3497,16,2,35,15,117,252,0,4,0,0,3.0,7.0,1082.0,595,1533,159066,822,2088,247992,837,2076,232822,751,1899,213293,big
93,은밀한 유혹,20150604,145547,씨제이이앤엠(주),멜로/로맨스,15세 관람가,6834,0,0,5,3,68,78,0,2,4687,738,12.0,14.0,3366.0,385,1956,21742,394,1974,19545,393,1926,28714,390,1952,23333,big
94,나의 절친 악당들,20150625,133553,이십세기폭스코리아(주),범죄,청소년 관람불가,5834,25,0,4,1,36,63,0,2,1791,530,17.0,27.0,3776.0,384,1596,26887,375,1496,20823,364,1210,24062,374,1434,23924,small
95,퇴마: 무녀굴,20150820,120802,씨네그루(주)다우기술,공포(호러),15세 관람가,4891,5,0,5,3,35,46,1,2,1993,453,8.0,20.0,4043.0,331,981,21790,327,951,19020,322,799,24276,326,910,21695,small
96,돌연변이,20151022,100523,필라멘트픽쳐스,드라마,12세 관람가,14361,0,0,11,2,76,107,0,3,8894,1335,8.0,26.0,4742.0,365,1089,10379,378,1083,13223,393,1020,26989,378,1064,16863,small
97,쓰리 썸머 나잇,20150715,77621,"(주)리틀빅픽쳐스,(주)인벤트스톤",코미디,청소년 관람불가,4146,8,0,4,8,67,11,1,2,2529,890,8.0,16.0,3243.0,297,945,12378,294,874,10407,295,835,11365,295,884,11383,mid
98,미안해 사랑해 고마워,20151028,51207,(주)쇼박스,드라마,15세 관람가,3672,1,0,5,1,22,29,0,3,1682,267,9.0,14.0,3985.0,333,935,6142,344,972,7072,341,931,5883,339,946,6365,big
99,비밀,20151015,50196,CGV아트하우스,미스터리,15세 관람가,337082,0,0,1,7,98,151,0,3,2057,245,3.0,12.0,1959.0,305,791,7539,300,776,8950,302,716,10422,302,761,8970,mid
100,약장수,20150423,44214,"(주)대명문화공장,(주)나이너스엔터테인먼트",드라마,15세 관람가,3157,1,0,4,10,20,36,0,1,1262,267,6.0,14.0,3203.0,278,632,4006,282,666,4733,272,585,7468,277,627,5402,small
101,타투,20151210,12102,와이드 릴리즈(주),스릴러,청소년 관람불가,5260,1,0,0,1,9,8,0,4,2224,371,1.0,2.0,517.0,81,163,1620,133,208,1889,132,190,2406,115,187,1971,small
102,검은손,20150416,11650,(주)스톰픽쳐스코리아,공포(호러),청소년 관람불가,10926,0,0,0,0,14,8,0,1,372,145,1.0,1.0,326.0,178,428,2126,174,430,1803,171,401,2176,174,419,2035,small
103,부산행,20160720,11565479,(주)넥스트엔터테인먼트월드(NEW),액션,15세 관람가,38862,21,2,22,22,135,311,1,2,62952,8779,431.0,2698.0,565286.0,1571,8831,872673,1613,9092,663365,1667,9501,738823,1617,9141,758287,big
